Date,Number of Flows,Accumulated
2025-02-01,1,1
2025-02-02,6,7
2025-02-03,7,14
2025-02-04,4,18
2025-02-05,5,23
2025-02-06,6,29
2025-02-07,4,33
2025-02-08,2,35
2025-02-09,4,39
2025-02-10,3,42
2025-02-11,4,46
2025-02-12,3,49
2025-02-13,5,54
2025-02-14,4,58
2025-02-15,4,62
2025-02-16,0,62
2025-02-17,5,67
2025-02-18,3,70
2025-02-19,3,73
2025-02-20,5,78
2025-02-21,5,83
2025-02-22,4,87
2025-02-23,4,91
2025-02-24,6,97
2025-02-25,2,99
2025-02-26,7,106
2025-02-27,5,111
2025-02-28,3,114
